# Translation from CC-CEDICT,,,,,
# Creative Commons Attribution-Share Alike 3.0 License ,,,,,
Simplified,Pinyin,Edition,Level,Lesson,English
星期,xīngqī,1,1,3,/week/CL:個|个[ge4]/day of the week/Sunday/
天,tiān,1,1,3,/day/sky/heaven/
生日,shēngrì,1,1,3,/birthday/CL:個|个[ge4]/
生,shēng,1,1,3,/to be born/to give birth/life/to grow/raw uncooked/
日,rì,1,1,3,/sun/day/date day of the month/abbr. for 日本 Japan/
今年,jīnnián,1,1,3,/this year/
年,nián,1,1,3,/year/CL:個|个[ge4]/
多大,duō dà,1,1,3,/how big/how much/how old etc/
多,duō,1,1,3,/many/much/a lot of/numerous/multi-/far more/in excess/how (to what extent)/
大,dà,1,1,3,/doctor/
十八,shíbā,1,1,3,/eighteen/18/
岁,suì,1,1,3,/classifier for years (of age)/year/year (of crop harvests)/
请,qǐng,1,1,3,/to ask/to invite/please (do sth)/to treat (to a meal etc)/to request/
吃,chī,1,1,3,/stammer/
晚饭,wǎnfàn,1,1,3,/evening meal/dinner/supper/CL:份[fen4]頓|顿[dun4]
晚,wǎn,1,1,3,/evening/night/late/
饭,fàn,1,1,3,/food/cuisine/cooked rice/meal/CL:碗[wan3]頓|顿[dun4]/
吃饭,chīfàn,1,1,3,/to eat a meal/
怎么样,zěnmeyàng,1,1,3,/how?/how about?/how was it?/how are things?/
太…了,tài…le,1,1,3,
谢谢,xièxie,1,1,3,/to thank/thanks/
喜欢,xǐhuan,1,1,3,/to like/to be fond of/
还是,háishì,1,1,3,/or/still/nevertheless/
可是,kěshì,1,1,3,/but/however/
好,hǎo,1,1,3,/to be fond of/
我们,wǒmen,1,1,3,/we/us/ourselves/our/
点钟,diǎnzhōng,1,1,3,/(indicating time of day) o'clock/
点,diǎn,1,1,3,/drop (of liquid)/stain/spot/speck/jot/dot stroke (in Chinese characters)/decimal point/point/mark (of degree or level)/a place (with certain characteristics)/iron bell/o’clock/a little/a bit/some/(point) unit of measurement for type/to touch on briefly/to make clear/to light/to ignite/to kindle/period of time at night (24 minutes) (old)/a drip/to dibble/classifier for small indeterminate quantities/
钟,zhōng,1,1,3,/clock/o'clock/time as measured in hours and minutes/bell/CL:架[jia4]座[zuo4]/
