# Translation from CC-CEDICT,,,,,
# Creative Commons Attribution-Share Alike 3.0 License ,,,,,
Simplified,Pinyin,Edition,Level,Lesson,English
芝加哥,zhījiāgē,1,1,21,/Chicago USA/
洛杉矶,luòshānjī,1,1,21,/Los Angeles California/
汉城,hànchéng,1,1,21,/Hanseong old name of Seoul as traditional capital of Korea and capital of South Korea/adopted new Chinese spelling 首爾|首尔[Shou3 er3] in 2005/
香港,xiānggǎng,1,1,21,/Hong Kong/
中国民航,zhōngguómínháng,1,1,21,
对面,duìmiàn,1,1,22,/opposite/
春假,chūnjià,1,1,22,/spring break/
父母,fùmǔ,1,1,22,/father and mother/parents/
父亲,fùqin,1,1,22,/father/also pr. with light tone [fu4 qin5]/CL:個|个[ge4]/
母亲,mǔqīn,1,1,22,/mother/also pr. with light tone [mu3 qin5]/CL:個|个[ge4]/
外公,wàigōng,1,1,22,/(informal) mother's father/maternal grandfather/
外婆,wàipó,1,1,22,/(informal) mother's mother/maternal grandmother/
阿姨,āyí,1,1,22,/maternal aunt/step-mother/childcare worker/nursemaid/woman of similar age to one's parents (term of address used by child)/CL:個|个[ge4]/
以为,yǐwéi,1,1,22,/to believe/to think/to consider/to be under the impression/
亲戚,qīnqi,1,1,22,/a relative (i.e. family relation)/CL:門|门[men2]個|个[ge4]
伯伯,bóbo,1,1,22,/father's elder brother/uncle/
一家,yījiā,1,1,22,/the whole family/the same family/the family... (when preceded by a family name)/group/
老家,lǎojiā,1,1,22,/native place/place of origin/home state or region/
西边,xībiān,1,1,22,/west/west side/western part/to the west of/
边,biān,1,1,22,/suffix of a noun of locality/
城市,chéngshì,1,1,22,/city/town/CL:座[zuo4]/
乡下,xiāngxià,1,1,22,/country (as opposed to town or city)/rural/CL:個|个[ge4]/
镇,zhèn,1,1,22,/composed/small town/to suppress/to press down/to guard/garrison/to cool or chill (food or drinks)/
人口,rénkǒu,1,1,22,/population/
左边,zuǒbiān,1,1,22,/left/the left side/to the left of/
座,zuò,1,1,22,/seat/base/stand/CL:個|个[ge4]/classifier for buildings mountains and similar immovable objects/
山,shān,1,1,22,/mountain/hill/anything that resembles a mountain/CL:座[zuo4]/bundled straw in which silkworms spin cocoons/gable/
右边,yòubiān,1,1,22,/right side/right to the right/
河,hé,1,1,22,/river/CL:條|条[tiao2]道[dao4]/
种,zhòng,1,1,22,/to plant/to grow/to cultivate/
着,zhe,1,1,22,/to wear (clothes)/to contact/to use/to apply/
树,shù,1,1,22,/tree/CL:棵[ke1]/
开满,kāi mǎn,1,1,22,/to bloom abundantly/
满,mǎn,1,1,22,/full/filled/packed/fully/completely/quite/to reach the limit/to satisfy/satisfied/contented/to fill/abbr. for Manchurian/
美,měi,1,1,22,/America/beautiful/
风景,fēngjǐng,1,1,22,/scenery/landscape/CL:個|个[ge4]/
听起来,tīng qǐlai,1,1,22,/to sound like/
季,jì,1,1,22,/season/the last month of a season/fourth or youngest amongst brothers/classifier for seasonal crop yields/
比方说,bǐfang shuō,1,1,22,/for example/for instance/
比方,bǐfang,1,1,22,/analogy/instance/
滑雪,huá xuě,1,1,22,/to ski/skiing/
滑,huá,1,1,22,/comical/cunning/slippery/smooth/
雪,xuě,1,1,22,/snow/snowfall/CL:場|场[chang2]/to have the appearance of snow/to wipe away off or out/to clean/
欢迎,huānyíng,1,1,22,/to welcome/welcome/
王德中,wángdézhōng,1,1,22,
德,dé,1,1,22,/virtue/goodness/morality/ethics/kindness/favor/character/kind/
加州,jiāzhōu,1,1,22,/California/
旧金山,jiùjīnshān,1,1,22,/San Francisco California/
旧,jiù,1,1,22,/old/opposite: new 新/former/worn (with age)/
麻州,mázhōu,1,1,22,/abbr. for Massachusetts/
几个月,jǐ ge yuè,1,1,22,/several months/the last few months/
生活,shēnghuó,1,1,22,/life/activity/to live/livelihood/
家乡,jiāxiāng,1,1,22,/hometown/native place/CL:個|个[ge4]/
啦,la,1,1,22,/sentence-final particle contraction of 了啊
听说,tīngshuō,1,1,22,/to hear (sth said)/one hears (that)/hearsay/listening and speaking/
首都,shǒudū,1,1,22,/capital (city)/CL:個|个[ge4]/
政治,zhèngzhì,1,1,22,/politics/political/
经济,jīngjì,1,1,22,/economy/economic/
文化,wénhuà,1,1,22,/culture/civilization/cultural/CL:個|个[ge4]種|种[zhong3]/
气候,qìhòu,1,1,22,/climate/atmosphere/situation/CL:種|种[zhong3]/
部,bù,1,1,22,/ministry/department/section/part/division/troops/board/classifier for works of literature films
差不多,chàbuduō,1,1,22,/almost/nearly/more or less/about the same/good enough/not bad/
分明,fēnmíng,1,1,22,/clearly demarcated/sharply contoured/
刮风,guā fēng,1,1,22,/to be windy/
刮,guā,1,1,22,/to scrape/to blow/to shave/to plunder/to extort/to blow (of the wind)/
风,fēng,1,1,22,/wind/news/style/custom/manner/CL:陣|阵[zhen4]絲|丝[si1]/
如果…的话,rúguǒ…de huà,1,1,22,
导游,dǎoyóu,1,1,22,/tour guide/guidebook/to conduct a tour/
差不多,chàbuduō,1,1,22,/almost/nearly/more or less/about the same/good enough/not bad/
暑假,shǔjià,1,1,23,/summer vacation/CL:個|个[ge4]/
探亲,tànqīn,1,1,23,/to go home to visit one's family/
前一天,qián yī tiān,1,1,23,/the day before (an event)/
收拾,shōushi,1,1,23,/to put in order/to tidy up/to pack/to repair/to punish (colloquial)/to manage/
行李,xíngli,1,1,23,/luggage/CL:件[jian4]/
出门,chū mén,1,1,23,/to go on a journey/away from home/exit door/to go out of the door/
提醒,tíxǐng,1,1,23,/to remind/to call attention to/to warn of/
停车场,tíngchēchǎng,1,1,23,/parking lot/car park/
停车,tíng chē,1,1,23,/to stop/to park/
停,tíng,1,1,23,/to stop/to halt/to park (a car)/
差一点,chàyīdiǎn,1,1,23,/not quite/not good enough/almost/barely/a bit different/just about to/nearly starting/on the verge of/see also 差點|差点[cha4 dian3]/
找不到,zhǎo bu dào,1,1,23,/can't find/
来到,láidào,1,1,23,/to come/to arrive/
服务台,fúwùtái,1,1,23,/service desk/information desk/reception desk/
件,jiàn,1,1,23,/item/component/classifier for events things
托运,tuōyùn,1,1,23,/to consign (goods)/to check through (baggage)/
皮箱,píxiāng,1,1,23,/leather suitcase/
随身,suíshēn,1,1,23,/to (carry) on one's person/to (take) with one/
称,chēng,1,1,23,/variant of 秤[cheng4]/steelyard/
超重,chāozhòng,1,1,23,/overweight (baggage freight)/
登机证,dēngjīzhèng,1,1,23,/boarding pass/
要…了,yào…le,1,1,23,
起飞,qǐfēi,1,1,23,/to take off (in an airplane)/
急,jí,1,1,23,/urgent/pressing/rapid/hurried/worried/
哭,kū,1,1,23,/to cry/to weep/
长途,chángtú,1,1,23,/long distance/
常,cháng,1,1,23,/always/ever/often/frequently/common/general/constant/
保重,bǎozhòng,1,1,23,/to take care of oneself/
小心,xiǎoxīn,1,1,23,/to be careful/to take care/
一路顺风,yī lù shùnfēng,1,1,23,/to have a pleasant journey (idiom)/
表弟,biǎodì,1,1,23,/younger male cousin via female line/
首都机场,shǒudū jīchǎng,1,1,23,/Beijing airport (PEK)/also translated as Capital airport/
地,de,1,1,23,/earth/ground/field/place/land/CL:片[pian4]/
表哥,biǎogē,1,1,23,/older male cousin via female line/
路上,lùshang,1,1,23,/on the road/on a journey/road surface/
辛苦,xīnkǔ,1,1,23,/hard/exhausting/with much toil/thanks for your trouble/
提,tí,1,1,23,/to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid/
拿,ná,1,1,23,/to hold/to seize/to catch/to apprehend/to take/
不动,bu dòng,1,1,23,/motionless/
才,cái,1,1,23,/ability/talent/sb of a certain type/a capable individual/only/only then/just now/a moment ago/just now/(preceded by a clause of condition or reason) not until/(followed by a numerical clause) only/
瘦,shòu,1,1,23,/thin/to lose weight/(of clothing) tight/(of meat) lean/(of land) unproductive/
惯,guàn,1,1,23,/accustomed to/used to/indulge/to spoil (a child)/
公斤,gōngjīn,1,1,23,/kilogram (kg)/
累坏,lèi huài,1,1,23,/to become exhausted/
累,lèi,1,1,23,/rope/to bind together/to twist around/
座位,zuòwèi,1,1,23,/seat/CL:個|个[ge4]/
聊,liáo,1,1,23,/to chat/to depend upon (literary)/temporarily/just/slightly/
爷爷,yéye,1,1,23,/(informal) father's father/paternal grandfather/CL:個|个[ge4]/
奶奶,nǎinai,1,1,23,/(informal) father's mother/paternal grandmother/CL:位[wei4]/
孙子,sūnzi,1,1,23,/grandson/son's son/
门口,ménkǒu,1,1,23,/doorway/gate/CL:個|个[ge4]/
叫,jiào,1,1,23,/to shout/to call/to order/to ask/to be called/by (indicates agent in the passive mood)/
开学,kāi xué,1,2,1,/foundation of a University or College/school opening/the start of a new term/
暑假,shǔjià,1,2,1,/summer vacation/CL:個|个[ge4]/
结束,jiéshù,1,2,1,/termination/to finish/to end/to conclude/to close/
各,gè,1,2,1,/each/every/
年级,niánjí,1,2,1,/grade/CL:個|个[ge4]/
坐,zuò,1,2,1,/to sit/to take a seat/to take (a bus airplane etc)/to bear fruit/
飞机,fēijī,1,2,1,/airplane/CL: 架[jia4]/
办,bàn,1,2,1,/to do/to manage/to handle/to go about/to run/to set up/to deal with/
注册,zhù cè,1,2,1,/to register/to enroll/
手续,shǒuxù,1,2,1,/procedure/CL:道[dao4]個|个[ge4]/formalities/
新生,xīnshēng,1,2,1,/newborn/new student/
老生,lǎoshēng,1,2,1,
搬,bān,1,2,1,/to move/to shift/to remove/to transport/to apply indiscriminately/to copy mechanically/
祖籍,zǔjí,1,2,1,/ancestral hometown/original domicile (and civil registration)/
出生,chūshēng,1,2,1,/to be born/
长大,zhǎng dà,1,2,1,/to grow up/
弓,gōng,1,2,1,/a bow (weapon)/CL:張|张[zhang1]/
长,cháng,1,2,1,/chief/head/elder/to grow/to develop/to increase/to enhance/
校外,xiào wài,1,2,1,/off campus/
校内,xiào nèi,1,2,1,/on-campus/intramural/
方便,fāngbiàn,1,2,1,/convenient/to help out/to make things easy for people/convenience/suitable/having money to spare/(euphemism) to go to the toilet/
安全,ānquán,1,2,1,/safe/secure/safety/security/
省钱,shěng qián,1,2,1,/to save money/
自由,zìyóu,1,2,1,/freedom/free/liberty/CL:個|个[ge4]/
再说,zàishuō,1,2,1,/to say again/to put off a discussion until later/moreover/what's more/besides/
不见得,bú jiàn de,1,2,1,/not necessarily/not likely/
好处,hǎochù,1,2,1,/benefit/advantage/gain/profit/also pronounced [hao3 chu4]/CL:個|个[ge4]/
适应,shìyìng,1,2,1,/to suit/to fit/to be suitable/to adapt/to get used to sth/
搬家,bān jiā,1,2,1,/to move house/removal/
离开,lí kāi,1,2,1,/to depart/to leave/
靠,kào,1,2,1,/to lean against or on/to stand by the side of/to come near to/to depend or rely on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old)/
出门,chū mén,1,2,1,/to go on a journey/away from home/exit door/to go out of the door/
道理,dàoli,1,2,1,/reason/argument/sense/principle/basis/justification/CL:個|个[ge4]/
前边,qiánbian,1,2,1,/front/the front side/in front of/
行李,xíngli,1,2,1,/luggage/CL:件[jian4]/
张天明,zhāng tiānmíng,1,2,1,
波士顿,bōshìdùn,1,2,1,/Boston capital of Massachusetts/
柯林,kēlín,1,2,1,/Colin (name)/
同屋,tóngwū,1,2,2,/roommate/CL:個|个[ge4]/
前天,qiántiān,1,2,2,/the day before yesterday/
熟悉,shúxi,1,2,2,/to be familiar with/to know well/
家具,jiājù,1,2,2,/furniture/CL:件[jian4]套[tao4]/
靠,kào,1,2,2,/to lean against or on/to stand by the side of/to come near to/to depend or rely on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old)/
窗户,chuānghu,1,2,2,/window/CL:個|个[ge4]扇[shan4]/
摆,bǎi,1,2,2,/to arrange/to exhibit/to move to and fro/a pendulum/
床,chuáng,1,2,2,/bed/couch/classifier for beds/CL:張|张[zhang1]/
被子,bèizi,1,2,2,/quilt/CL:床[chuang2]/
毯子,tǎnzi,1,2,2,/a blanket/CL:條|条[tiao2]張|张[zhang1]
衣柜,yīguì,1,2,2,/wardrobe/armoire/CL:個|个[ge4]/
柜子,guìzi,1,2,2,/cupboard/cabinet/
挂,guà,1,2,2,/to hang or suspend (from a hook etc)/(of a telephone call) to hang up/to be worried or concerned/to make a phone call (topolect)/to register or record/to hitch/classifier for sets or clusters of objects/
书架,shūjià,1,2,2,/bookshelf/CL:個|个[ge4]/
空,kōng,1,2,2,/to empty/vacant/unoccupied/space/leisure/free time/
空调,kōngtiáo,1,2,2,/air conditioning/
栋,dòng,1,2,2,/classifier for houses or buildings/ridgepole (old)/
设备,shèbèi,1,2,2,/equipment/facilities/installations/CL:個|个[ge4]/
旧,jiù,1,2,2,/old/opposite: new 新/former/worn (with age)/
厕所,cèsuǒ,1,2,2,/toilet/lavatory/CL:間|间[jian1]處|处[chu4]/
浴室,yùshì,1,2,2,/bathroom (room used for bathing)/CL:間|间[jian1]/
恐怕,kǒngpà,1,2,2,/fear/to dread/I'm afraid that.../perhaps/maybe/
餐厅,cāntīng,1,2,2,/dining-hall/dining-room/restaurant/CL:間|间[jian1]家[jia1]/
楼下,lóu xià,1,2,2,/downstairs/
商店,shāngdiàn,1,2,2,/store/shop/CL:家[jia1]個|个[ge4]/
日用品,rìyòngpǐn,1,2,2,/articles for daily use/CL:件[jian4]個|个[ge4]/
文具,wénjù,1,2,2,/stationery/item of stationery (pen pencil
层,céng,1,2,2,/layer/stratum/laminated/floor (of a building)/storey/classifier for layers/repeated/sheaf (math.)/
台,tái,1,2,2,/desk/platform/typhoon/
洗衣机,xǐyījī,1,2,2,/washer/washing machine/CL:臺|台[tai2]/
烘干机,hōnggān jī,1,2,2,/clothes dryer/
吵,chǎo,1,2,2,/to quarrel/to make a noise/noisy/to disturb by making a noise/
马路,mǎlù,1,2,2,/street/road/CL:條|条[tiao2]/
安静,ānjìng,1,2,2,/quiet/peaceful/calm/
一般,yìbān,1,2,2,/same/ordinary/common/general/generally/in general/
听说,tīngshuō,1,2,2,/to hear (sth said)/one hears (that)/hearsay/listening and speaking/
猜对了,cāi duì le,1,2,2,
胃口,wèikǒu,1,2,2,/appetite/
真的,zhēnde,1,2,2,
着急,zháojí,1,2,2,/to worry/to feel anxious/Taiwan pron. [zhao1 ji2]/
餐馆,cānguǎn,1,2,2,/restaurant/CL:家[jia1]/
地道,dìdao,1,2,2,/authentic/genuine/typical/from a place known for the product/thorough/conscientious/
过几天,guò jǐ tiān,1,2,2,
带,dài,1,2,2,/band/belt/girdle/ribbon/tire/area/zone/region/CL:條|条[tiao2]/to wear/to carry/to take along/to bear (i.e. to have)/to lead/to bring/to look after/to raise/
约翰,yuēhàn,1,2,2,/John (name)/Johan (name)/Johann (name)/
华盛顿,huáshèngdùn,1,2,2,/Washington (name)/George Washington (1732-1799) first US president/Washington
只好,zhǐhǎo,1,2,3,/without any better option/to have to/to be forced to/
顿,dùn,1,2,3,/to stop/to pause/to arrange/to lay out/to kowtow/to stamp (one's foot)/at once/classifier for meals beatings
周末,zhōumò,1,2,3,/weekend/
功课,gōngkè,1,2,3,/homework/assignment/task/classwork/lesson/study/CL:門|门[men2]/
中国城,zhōngguó chéng,1,2,3,/Chinatown/
正好,zhènghǎo,1,2,3,/just (in time)/just right/just enough/to happen to/to chance to/by chance/it just so happens that/
门口,ménkǒu,1,2,3,/doorway/gate/CL:個|个[ge4]/
接,jiē,1,2,3,/to receive/to answer (the phone)/to meet or welcome sb/to connect/to catch/to join/to extend/to take one's turn on duty/to take over for sb/
一刻钟,yí kè zhōng,1,2,3,
原来,yuánlái,1,2,3,/original/former/originally/formerly/at first/so... actually/
女孩,nǚhái,1,2,3,/girl/lass/
长得,zhǎng de,1,2,3,/to look (pretty the same etc)/
漂亮,piàoliang,1,2,3,/pretty/beautiful/
吸烟,xīyān,1,2,3,/to smoke/
跟,gēn,1,2,3,/heel/to follow closely/to go with/to marry sb (of woman)/with/towards/as (compared to)/from (different from)/and (in addition to)/
菜单,càidān,1,2,3,/menu/CL:份[fen4]張|张[zhang1]/
常客,chángkè,1,2,3,/frequent visitor/fig. sth that crops up frequently/
拿手,náshǒu,1,2,3,/expert in/good at/
特别,tèbié,1,2,3,/especially/special/particular/unusual/
清蒸,qīngzhēng,1,2,3,/steamed in broth/
鱼,yú,1,2,3,/fish/CL:條|条[tiao2]尾[wei3]/
味道,wèidao,1,2,3,/flavor/smell/hint of/
芥兰,jièlán,1,2,3,/Chinese kale/cabbage mustard (Brassica oleracea var. alboglabra)/
牛肉,niúròu,1,2,3,/beef/
嫩,nèn,1,2,3,/tender/soft/delicate/light (color)/inexperienced/unskilled/
香,xiāng,1,2,3,/fragrant/sweet smelling/aromatic/savory or appetizing/(to eat) with relish/(of sleep) sound/perfume or spice/joss or incense stick/CL:根[gen1]/
叫(菜),jiào (cài),1,2,3,
汤,tāng,1,2,3,/soup/hot or boiling water/decoction of medicinal herbs/water in which sth has been boiled/
菠菜,bōcài,1,2,3,/spinach/CL:棵[ke1]/
豆腐,dòufu,1,2,3,/tofu/bean curd/
素菜,sùcài,1,2,3,/vegetable dish/
点,diǎn,1,2,3,/drop (of liquid)/stain/spot/speck/jot/dot stroke (in Chinese characters)/decimal point/point/mark (of degree or level)/a place (with certain characteristics)/iron bell/o’clock/a little/a bit/some/(point) unit of measurement for type/to touch on briefly/to make clear/to light/to ignite/to kindle/period of time at night (24 minutes) (old)/a drip/to dibble/classifier for small indeterminate quantities/
新鲜,xīnxiān,1,2,3,/fresh (experience food etc)/freshness/
青菜,qīngcài,1,2,3,/green vegetables/Chinese cabbage/
小白菜,xiǎo báicài,1,2,3,/bak choy/Brassica chinensis/CL:棵[ke1]/
麻烦,máfan,1,2,3,/inconvenient/troublesome/annoying/to trouble or bother sb/to put sb to trouble/
老板,lǎobǎn,1,2,3,/boss/business proprietor/CL:個|个[ge4]/
少,shǎo,1,2,3,/young/
盐,yán,1,2,3,/salt/CL:粒[li4]/
味精,wèijīng,1,2,3,/monosodium glutamate (MSG)/Ajinomoto/
马上,mǎshàng,1,2,3,/at once/right away/immediately/on horseback (i.e. by military force)/
记者,jìzhě,1,2,3,/reporter/journalist/CL:個|个[ge4]/
文章,wénzhāng,1,2,3,/article/essay/literary works/writings/hidden meaning/CL:篇[pian1]段[duan4]
卡路里,kǎlùlǐ,1,2,3,/calorie (loanword)/
健康,jiànkāng,1,2,3,/health/healthy/
看法,kànfǎ,1,2,3,/way of looking at a thing/view/opinion/CL:個|个[ge4]/
认为,rènwéi,1,2,3,/to believe/to think/to consider/to feel/
说法,shuōfa,1,2,3,/way of speaking/wording/formulation/one's version (of events)/statement/theory/hypothesis/interpretation/
片面,piànmiàn,1,2,3,/unilateral/one-sided/
总的来说,zǒng de lái shuō,1,2,3,/generally speaking/to sum up/in summary/in short/
也许,yěxǔ,1,2,3,/perhaps/maybe/
油,yóu,1,2,3,/oil/fat/grease/petroleum/to apply tung oil paint or varnish/oily/greasy/glib/cunning/
会,huì,1,2,3,/to balance an account/accountancy/accounting/
清淡,qīngdàn,1,2,3,/light (of food not greasy or strongly flavored)/insipid/slack (sales)/
同意,tóngyì,1,2,3,/to agree/to consent/to approve/
其实,qíshí,1,2,3,/actually/in fact/really/
要不然,yàoburán,1,2,3,/otherwise/or else/or/
林雪梅,lín xuěméi,1,2,3,
小陈,xiǎo chén,1,2,3,
想起来,xiǎng qǐ lai,1,2,4,/to remember/to recall/
穿,chuān,1,2,4,/to bore through/pierce/perforate/penetrate/pass through/to dress/to wear/to put on/to thread/
衣服,yīfu,1,2,4,/clothes/CL:件[jian4]套[tao4]/
T恤衫,tìxùshān,1,2,4,
毛衣,máoyī,1,2,4,/(wool) sweater/CL:件[jian4]/
牛仔裤,niúzǎikù,1,2,4,/jeans/CL:條|条[tiao2]/also written 牛崽褲|牛崽裤/
等等,děngděng,1,2,4,/etcetera/and so on .../wait a minute!/hold on!/
无论,wúlùn,1,2,4,/no matter what or how/regardless of whether.../
样子,yàngzi,1,2,4,/manner/air/looks/aspect/
名牌,míngpái,1,2,4,/famous brand/
需要,xūyào,1,2,4,/to need/to want/to demand/to require/requirement/need/
洗衣粉,xǐyīfěn,1,2,4,/laundry detergent/washing powder/
牙膏,yágāo,1,2,4,/toothpaste/CL:管[guan3]/
香皂,xiāngzào,1,2,4,/perfumed soap/toilet soap/CL:塊|块[kuai4]/
卫生纸,wèishēngzhǐ,1,2,4,/toilet paper/bathroom tissue/
以及,yǐjí,1,2,4,/as well as/too/and/
杯子,bēizi,1,2,4,/cup/glass/CL:個|个[ge4]支[zhi1]
浴巾,yùjīn,1,2,4,/bath towel/CL:條|条[tiao2]/
于是,yúshì,1,2,4,/thereupon/as a result/consequently/thus/hence/
化妆品,huàzhuāngpǐn,1,2,4,/cosmetic/make-up product/
购物中心,gòuwù zhōngxīn,1,2,4,/shopping center/
套,tào,1,2,4,/cover/sheath/to encase/a case/to overlap/to interleave/bend (of a river or mountain range in place names)/harness/classifier for sets
运动服,yùndòng fú,1,2,4,/sportswear/
大小,dàxiǎo,1,2,4,/dimension/magnitude/size/measurement/large and small/adults and children/consideration of seniority/
长短,chángduǎn,1,2,4,/length/duration/accident/right and wrong/good and bad/long and short/
厚薄,hòubó,1,2,4,/to favor one and discriminate against the other (abbr. for 厚此薄彼[hou4 ci3 bo2 bi3])/
合适,héshì,1,2,4,/suitable/fitting/decent/to fit/
减价,jiǎnjià,1,2,4,/to cut prices/to discount/to mark down/price cutting/
打折,dǎ zhé,1,2,4,/to give a discount/
价钱,jiàqian,1,2,4,/price/
牌子,páizi,1,2,4,/sign/trademark/brand/
纯棉(的),chúnmián(de),1,2,4,
行,xíng,1,2,4,/behavior/conduct/
好像,hǎoxiàng,1,2,4,/as if/to seem like/
哎呀,āiyā,1,2,4,/interjection of wonder shock or admiration/
质量,zhìliàng,1,2,4,/quality/mass (in physics)/CL:個|个[ge4]/
图,tú,1,2,4,/diagram/picture/drawing/chart/map/CL:張|张[zhang1]/to plan/to scheme/to attempt/to pursue/to seek/
挑剔,tiāoti,1,2,4,/picky/fussy/
非…不可,fēi…bùkě,1,2,4,
标准,biāozhǔn,1,2,4,/(an official) standard/norm/criterion/CL:個|个[ge4]/
物美价廉,wù měi jià lián,1,2,4,
在乎,zàihu,1,2,4,/determined by/to care about/to mind/
难道,nándào,1,2,4,/don't tell me .../could it be that...?/
好看,hǎokàn,1,2,4,/good-looking/
争论,zhēnglùn,1,2,4,/to argue/to debate/to contend/argument/contention/controversy/debate/CL:次[ci4]場|场[chang3]/
陪,péi,1,2,4,/to accompany/to keep sb company/to assist/old variant of 賠|赔[pei2]/
付钱,fùqián,1,2,4,/to pay money/
现金,xiànjīn,1,2,4,/cash/
信用卡,xìnyòng kǎ,1,2,4,/credit card/
税,shuì,1,2,4,/taxes/duties/
州,zhōu,1,2,4,/prefecture/state (e.g. of US)/province (old)/administrative division (old)/
百分之,bǎifēn zhī,1,2,4,/percent/
签字,qiān zì,1,2,4,/to sign (a signature)/
收据,shōujù,1,2,4,/receipt/CL:張|张[zhang1]/
阿迪达斯,ādídásī,1,2,4,/Adidas (sportswear company)/
选,xuǎn,1,2,5,/to choose/to pick/to select/to elect/
专业,zhuānyè,1,2,5,/specialty/specialized field/main field of study (at university)/major/CL:門|门[men2]個|个[ge4]/professional/
选课,xuǎn kè,1,2,5,/to select courses/
门,mén,1,2,5,/gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons subjects
东亚史,dōngyà shǐ,1,2,5,
统计学,tǒngjìxué,1,2,5,/statistics/
文学,wénxué,1,2,5,/literature/CL:種|种[zhong3]/
其他,qítā,1,2,5,/other/the others/else/other than (that person)/in addition to the person mentioned above/
准备,zhǔnbèi,1,2,5,/preparation/to prepare/to intend/to be about to/reserve (fund)/
学到,xuédào,1,2,5,
受不了,shòu bù liǎo,1,2,5,/unbearable/unable to endure/can't stand/
对…来说,duì…lái shuō,1,2,5,
反复,fǎnfù,1,2,5,/repeatedly/over and over/
记住,jì zhù,1,2,5,/to remember/to bear in mind/to learn by heart/
大半,dàbàn,1,2,5,/more than half/greater part/most/probably/most likely/
为,wèi,1,2,5,/variant of 為|为[wei4] because of/for/to/
后天,hòutiān,1,2,5,/day after tomorrow/post-natal/
指导教授,zhǐdǎojiàoshòu,1,2,5,/adviser/advising professor/
讨论,tǎolùn,1,2,5,/to discuss/to talk over/CL:個|个[ge4]/
聊,liáo,1,2,5,/to chat/to depend upon (literary)/temporarily/just/slightly/
选好,xuǎn hǎo,1,2,5,
想法,xiǎngfǎ,1,2,5,/idea/notion/train of thought/what sb is thinking/to think of a way (to do sth)/CL:個|个[ge4]/
肯定,kěndìng,1,2,5,/to be sure/to be certain/sure/certain/definite/to confirm/to affirm/affirmative/to approve/approval/recognition/
至于,zhìyú,1,2,5,/as for/as to/to go so far as to/
毕业,bìyè,1,2,5,/graduation/to graduate/to finish school/
双学位,shuāng xuéwèi,1,2,5,/dual degree (academic)/
物理,wùlǐ,1,2,5,/physics/physical/
电脑,diànnǎo,1,2,5,/computer/CL:臺|台[tai2]/
系,xì,1,2,5,/to connect/to relate to/to tie up/to bind/to be (literary)/to connect/to arrest/to worry/
学分,xuéfēn,1,2,5,/course credit/
打算,dǎsuàn,1,2,5,/to plan/to intend/to calculate/plan/intention/calculation/CL:個|个[ge4]/
研究所,yánjiūsuǒ,1,2,5,/research institute/graduate studies/graduate school/CL:個|个[ge4]/
要么…要么…,yàome…yàome…,1,2,5,
工学院,gōngxuéyuàn,1,2,5,/school of engineering/college of engineering/
管理学院,guǎnlǐ xuéyuàn,1,2,5,/school of management/
文科,wénkē,1,2,5,/liberal arts/humanities/
赚钱,zhuàn qián,1,2,5,/to earn money/money making/
医学院,yīxuéyuàn,1,2,5,/medical school/
愿意,yuànyi,1,2,5,/to wish/to want/ready/willing (to do sth)/
当,dāng,1,2,5,/at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/
整天,zhěngtiān,1,2,5,/all day long/whole day/
病人,bìngrén,1,2,5,/sick person/patient/invalid/CL:個|个[ge4]/
跟,gēn,1,2,5,/heel/to follow closely/to go with/to marry sb (of woman)/with/towards/as (compared to)/from (different from)/and (in addition to)/
打交道,dǎ jiāodào,1,2,5,/to come into contact with/to have dealings/
唉,ài,1,2,5,/alas/oh dear/
哲学,zhéxué,1,2,5,/philosophy/CL:個|个[ge4]/
西方,xīfāng,1,2,5,/the West/the Occident/Western countries/
孩子,háizi,1,2,5,/child/
管,guǎn,1,2,5,/to take care (of)/to control/to manage/to be in charge of/to look after/to run/to care about/tube/pipe/(spoken) to/towards/
申请,shēnqǐng,1,2,5,/to apply for sth/application (form etc)/CL:份[fen4]/
这样,zhèyàng,1,2,5,/this kind of/so/this way/like this/such/
房租,fángzū,1,2,5,/rent for a room or house/
饭钱,fànqián,1,2,5,
省下来,shěng xialai,1,2,5,
不过,búguò,1,2,5,/only/merely/no more than/but/however/anyway (to get back to a previous topic)/
考虑,kǎolǜ,1,2,5,/to think over/to consider/consideration/
实习,shíxí,1,2,5,/to practice/field work/to intern/internship/
经验,jīngyàn,1,2,5,/to experience/experience/
履历,lǚlì,1,2,5,/curriculum vitae/career information/career/
提,tí,1,2,5,/to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid/
意见,yìjiàn,1,2,5,/idea/opinion/suggestion/objection/complaint/CL:點|点[dian3]條|条[tiao2]/
咱们,zánmen,1,2,5,/we or us (including both the speaker and the person(s) spoken to)/I or me/you/
